id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
507,12,3,24,3,80,40,0.03,256,20.83801842,20.29637337
509,4,5,48,3,80,40,0.001,64,96.09606171,85.85590363
50,8,5,24,5,100,60,0.03,256,20.83801842,20.29637337
510,8,3,48,3,100,60,0.01,64,20.83801842,20.29637337
511,8,3,24,5,80,60,0.003,256,94.55799103,86.18293762
512,12,5,48,5,100,60,0.01,128,20.83801842,20.29637337
515,4,3,32,3,100,50,0.01,64,61.85488129,61.31834412
517,12,3,32,5,100,40,0.03,256,20.83801842,20.29637337
518,8,5,32,5,100,50,0.001,256,92.05416107,85.72304535
519,12,5,48,5,100,40,0.003,128,94.05211639,85.84568787
